judul,imdb_rating,metascore,votes
Backdraft 2,4.8,,1504
"A White, White Day",7.0,,1539
Adopt a Highway,6.2,53        ,2161
Lost Transmissions,5.0,50        ,354
Lancaster Skies,4.6,,1104
Verotika,1.9,,764
The First King,6.6,,3628
Days Gone,8.4,,2240
Kenobi: A Star Wars Story,7.7,,164
The Code,6.1,,1578
The Hard Way,4.8,,2133
A Shaun the Sheep Movie: Farmageddon,6.9,,6632
Daughter of the Wolf,5.3,,4563
Candy Corn,3.8,,646
Mafia Inc,7.6,,223
Dark Encounter,5.0,,1095
BH90210,6.9,,3583
Holiday in the Wild,6.1,,9543
Matchmaker Mysteries: A Killer Engagement,6.5,,419
The Tashkent Files,7.8,,7387
Assimilate,5.3,,3626
Griekwastad,7.1,,14
Cry for the Bad Man,3.6,,59
Drunk Parents,3.8,,4464
Ashfall,6.5,,1025
See You Yesterday,5.1,,7848
Bad Mothers,5.9,,264
"Berlin, I Love You",4.6,,2072
Artik,4.3,,549
The Virtues,8.3,,2810
Hudson & Rex,6.7,,648
Paddleton,7.2,,9306
The InBetween,7.0,,3154
How to Sell Drugs Online (Fast),7.9,,12160
The Fix,6.5,,2406
The Endless Trench,7.3,,3092
The Flood,5.1,56        ,607
Above the Shadows,5.8,,1327
Reign of the Supermen,6.8,,9762
Killer Sofa,4.5,,826
Jersey,8.6,,5525
Saint Maud,6.8,,404
In the Trap,3.8,,256
Mission Mangal,6.5,,9980
Queens of Mystery,7.4,,650
The Last Laugh,5.6,,4490
Student of the Year 2,2.3,,13609
Exit,7.0,,2639
A Guide to Second Date Sex,5.3,,433
Horrible Histories: The Movie - Rotten Romans,5.2,,1830
Night Walk,6.9,,54
The Nomads,9.0,,1344
Sydney to the Max,6.2,,231
Bala,7.4,,9274
5Gang,1.6,,1975
Portals to Hell,5.7,,337
Buffaloed,6.0,,952
Judy & Punch,6.0,52        ,1254
Infinity Train,8.4,,2007
Face to Face,7.0,,728
Blind Spot,5.7,,146
Corporate Animals,4.3,,1623
First Love,6.9,,3282
